3,1,417,152,79,202,-1,-1,-1,0,
3,2,506,145,63,186,-1,-1,-1,0,
4,1,448,149,59,210,-1,-1,-1,0,
4,2,515,145,70,196,-1,-1,-1,0,
5,1,456,147,63,214,-1,-1,-1,0,
5,2,521,145,82,192,-1,-1,-1,0,
6,1,453,151,93,208,-1,-1,-1,0,
6,2,526,148,84,197,-1,-1,-1,0,
7,1,464,154,92,212,-1,-1,-1,0,
7,2,538,148,75,200,-1,-1,-1,0,
8,1,482,154,94,209,-1,-1,-1,0,
8,2,561,144,57,204,-1,-1,-1,0,
9,1,512,153,61,215,-1,-1,-1,0,
9,2,579,143,54,203,-1,-1,-1,0,
10,1,524,151,67,215,-1,-1,-1,0,
10,2,584,142,81,206,-1,-1,-1,0,
11,1,529,152,106,215,-1,-1,-1,0,
11,2,597,145,93,207,-1,-1,-1,0,
11,14,497,143,20,60,-1,-1,-1,0,
11,15,516,137,21,57,-1,-1,-1,0,
12,1,529,155,116,213,-1,-1,-1,0,
12,2,615,146,78,212,-1,-1,-1,0,
12,14,498,143,20,58,-1,-1,-1,0,
12,15,517,137,20,58,-1,-1,-1,0,
13,1,540,153,108,215,-1,-1,-1,0,
13,2,630,146,64,213,-1,-1,-1,0,
13,14,498,143,20,59,-1,-1,-1,0,
13,15,516,136,20,59,-1,-1,-1,0,
13,16,260,139,59,180,-1,-1,-1,0,
14,1,568,150,76,219,-1,-1,-1,0,
14,2,638,145,59,215,-1,-1,-1,0,
14,14,501,145,19,59,-1,-1,-1,0,
14,15,517,136,18,58,-1,-1,-1,0,
14,16,268,143,73,177,-1,-1,-1,0,
15,1,596,148,62,220,-1,-1,-1,0,
15,2,649,144,70,218,-1,-1,-1,0,
15,14,504,144,20,55,-1,-1,-1,0,
15,15,519,138,16,50,-1,-1,-1,0,
15,16,283,145,67,175,-1,-1,-1,0,
16,1,588,149,98,219,-1,-1,-1,0,
16,2,660,144,77,221,-1,-1,-1,0,
16,14,507,144,18,60,-1,-1,-1,0,
16,15,539,145,20,51,-1,-1,-1,0,
16,16,292,143,72,177,-1,-1,-1,0,
17,1,588,151,124,218,-1,-1,-1,0,
17,2,671,146,88,221,-1,-1,-1,0,
17,14,508,146,20,61,-1,-1,-1,0,
17,15,540,144,19,52,-1,-1,-1,0,
17,16,312,140,58,175,-1,-1,-1,0,
17,21,247,130,66,200,-1,-1,-1,0,
17,23,569,147,18,49,-1,-1,-1,0,
18,1,597,153,106,216,-1,-1,-1,0,
18,2,684,147,78,221,-1,-1,-1,0,
18,14,509,145,22,62,-1,-1,-1,0,
18,15,540,144,21,53,-1,-1,-1,0,
18,16,322,142,74,179,-1,-1,-1,0,
18,21,254,127,59,202,-1,-1,-1,0,
18,23,571,146,17,50,-1,-1,-1,0,
19,1,621,153,90,215,-1,-1,-1,0,
19,2,696,144,73,224,-1,-1,-1,0,
19,14,509,145,24,62,-1,-1,-1,0,
19,15,540,145,23,50,-1,-1,-1,0,
19,16,322,143,102,180,-1,-1,-1,0,
19,21,257,127,64,210,-1,-1,-1,0,
19,23,570,144,19,52,-1,-1,-1,0,
20,1,659,148,79,220,-1,-1,-1,0,
20,2,713,143,64,223,-1,-1,-1,0,
20,14,510,144,23,63,-1,-1,-1,0,
20,15,540,143,21,52,-1,-1,-1,0,
20,16,328,144,102,178,-1,-1,-1,0,
20,21,273,128,68,211,-1,-1,-1,0,
20,23,571,144,20,52,-1,-1,-1,0,
20,24,1110,147,101,221,-1,-1,-1,0,
21,1,672,147,84,221,-1,-1,-1,0,
21,2,726,142,76,225,-1,-1,-1,0,
21,14,512,142,26,64,-1,-1,-1,0,
21,15,541,143,20,53,-1,-1,-1,0,
21,16,343,145,88,177,-1,-1,-1,0,
21,21,278,129,74,214,-1,-1,-1,0,
21,23,571,145,21,51,-1,-1,-1,0,
21,24,1077,145,83,223,-1,-1,-1,0,
22,1,679,149,108,219,-1,-1,-1,0,
22,2,741,143,84,224,-1,-1,-1,0,
22,14,514,142,25,64,-1,-1,-1,0,
22,15,543,145,19,53,-1,-1,-1,0,
22,16,376,142,56,180,-1,-1,-1,0,
22,21,289,129,69,214,-1,-1,-1,0,
22,23,573,145,19,52,-1,-1,-1,0,
23,1,681,150,125,219,-1,-1,-1,0,
23,2,757,144,91,224,-1,-1,-1,0,
23,14,518,140,22,68,-1,-1,-1,0,
23,15,544,145,18,53,-1,-1,-1,0,
23,16,391,141,56,183,-1,-1,-1,0,
23,21,299,128,67,218,-1,-1,-1,0,
23,23,573,144,23,53,-1,-1,-1,0,
23,24,973,155,155,214,-1,-1,-1,0,
24,1,683,149,130,220,-1,-1,-1,0,
24,2,777,146,76,222,-1,-1,-1,0,
24,14,518,141,25,69,-1,-1,-1,0,
24,15,544,145,18,51,-1,-1,-1,0,
24,16,398,145,79,180,-1,-1,-1,0,
24,21,315,127,69,217,-1,-1,-1,0,
24,23,572,145,22,53,-1,-1,-1,0,
24,24,953,154,137,215,-1,-1,-1,0,
25,1,717,148,92,221,-1,-1,-1,0,
25,2,795,143,66,225,-1,-1,-1,0,
25,14,518,142,25,69,-1,-1,-1,0,
25,15,544,146,17,51,-1,-1,-1,0,
25,16,402,149,87,181,-1,-1,-1,0,
25,21,324,126,76,219,-1,-1,-1,0,
25,23,573,146,23,52,-1,-1,-1,0,
25,24,945,150,90,218,-1,-1,-1,0,
26,1,754,144,71,224,-1,-1,-1,0,
26,2,807,139,74,229,-1,-1,-1,0,
26,14,521,143,23,68,-1,-1,-1,0,
26,15,545,144,16,54,-1,-1,-1,0,
26,16,418,146,81,187,-1,-1,-1,0,
26,21,327,129,90,213,-1,-1,-1,0,
26,23,575,147,20,50,-1,-1,-1,0,
26,24,923,149,89,219,-1,-1,-1,0,
27,1,749,144,117,223,-1,-1,-1,0,
27,2,825,139,89,229,-1,-1,-1,0,
27,14,523,144,24,68,-1,-1,-1,0,
27,15,545,144,17,54,-1,-1,-1,0,
27,16,443,144,63,190,-1,-1,-1,0,
27,21,333,131,103,217,-1,-1,-1,0,
27,23,578,148,18,49,-1,-1,-1,0,
27,24,868,155,141,214,-1,-1,-1,0,
28,1,750,148,109,219,-1,-1,-1,0,
28,2,841,143,73,224,-1,-1,-1,0,
28,14,525,145,23,67,-1,-1,-1,0,
28,15,547,145,14,54,-1,-1,-1,0,
28,16,457,143,62,189,-1,-1,-1,0,
28,21,349,130,89,220,-1,-1,-1,0,
29,1,764,149,113,219,-1,-1,-1,0,
29,2,861,145,97,223,-1,-1,-1,0,
29,14,529,145,21,69,-1,-1,-1,0,
29,15,548,145,15,56,-1,-1,-1,0,
29,16,464,144,94,189,-1,-1,-1,0,
29,21,373,128,64,222,-1,-1,-1,0,
29,23,581,147,20,53,-1,-1,-1,0,
30,1,802,148,119,220,-1,-1,-1,0,
30,2,882,145,95,224,-1,-1,-1,0,
30,14,531,146,20,68,-1,-1,-1,0,
30,15,546,145,16,55,-1,-1,-1,0,
30,16,466,146,99,193,-1,-1,-1,0,
30,21,386,128,62,228,-1,-1,-1,0,
31,1,835,146,88,221,-1,-1,-1,0,
31,2,899,144,89,224,-1,-1,-1,0,
31,15,539,144,19,56,-1,-1,-1,0,
31,16,476,147,90,194,-1,-1,-1,0,
31,21,388,130,89,226,-1,-1,-1,0,
31,23,583,146,21,55,-1,-1,-1,0,
31,24,788,159,63,197,-1,-1,-1,0,
32,1,850,145,116,222,-1,-1,-1,0,
32,2,921,139,76,225,-1,-1,-1,0,
32,15,538,144,21,57,-1,-1,-1,0,
32,16,505,148,61,192,-1,-1,-1,0,
